"","ringnr","X","ID","sex","flok","type","name","firstyear","lastyear","missing","LRS","lambda","Rep.Value","FirstAge","Long","r","GT","flok_year","animal","tarsus_length","body_mass","lBM","lTL","lGT"
"908","8M31561",2078,2078,"f",27,1,"Hestmannøy",2009,2010,0,2,2,1,1,1,2,1,"27 2009","8M31561",20.28,29.6,3.38777436133001,3.00963517872298,0
"910","8M31583",2082,2082,"m",27,1,"Hestmannøy",2009,2012,0,1,1,0.707106781186547,2,3,0.333333333333333,2,"27 2009","8M31583",20.0125,32.05,3.46729718336668,2.99635707832283,0.693147180559945
"911","8M31585",2083,2083,"f",27,1,"Hestmannøy",2009,2011,0,3,3,1,1,2,1.5,1,"27 2009","8M31585",19.62,30.1,3.40452517175483,2.97654945413722,0
"912","8M31591",2084,2084,"f",27,1,"Hestmannøy",2009,2011,0,2,1.61803398874989,0.85065080835204,1,2,1,1.5,"27 2009","8M31591",17.04,31.85,3.46103738201817,2.83556352140117,0.405465108108164
"913","8M31602",2085,2085,"f",27,1,"Hestmannøy",2009,2010,0,2,2,1,1,1,2,1,"27 2009","8M31602",20.5466666666667,33.85,3.52193899935828,3.02269872178381,0
"914","8M31622",2087,2087,"m",26,1,"Gjerøy",2009,2011,0,4,3.30277563773199,0.957092026489053,1,2,2,1.25,"26 2009","8M31622",20.2333333333333,31,3.43398720448515,3.00733140939734,0.22314355131421
"915","8M31627",2089,2089,"m",26,1,"Gjerøy",2009,2011,0,2,2,1,1,2,1,1,"26 2009","8M31627",18.6025,31.525,3.45078088185098,2.92329598028928,0
"916","8M31632",2090,2090,"m",27,1,"Hestmannøy",2009,2011,0,1,1,1,1,2,0.5,1,"27 2009","8M31632",20.06,32.5,3.48124008933569,2.99872778253379,0
"917","8M31634",2091,2091,"m",26,1,"Gjerøy",2009,2012,0,1,1,1,1,3,0.333333333333333,1,"26 2009","8M31634",19.88,29.8,3.39450839351136,2.98971420122843,0
"918","8M31637",2092,2092,"f",38,1,"Aldra",2009,2010,0,1,1,1,1,1,1,1,"38 2009","8M31637",19.7866666666667,33.26,3.50435547376478,2.98500831019102,0
"919","8M31641",2093,2093,"m",38,1,"Aldra",2009,2012,0,5,2,0.408248290463864,2,3,1.66666666666667,2.4,"38 2009","8M31641",20.0175,31.575,3.45236566823655,2.99660689096465,0.8754687373539
"920","8M31706",2096,2096,"f",26,1,"Gjerøy",2009,2012,0,1,1,1,1,3,0.333333333333333,1,"26 2009","8M31706",18.41,33.6,3.51452606696916,2.91289399524499,0
"921","8M31711",2097,2097,"f",26,1,"Gjerøy",2009,2010,0,2,2,1,1,1,2,1,"26 2009","8M31711",18.2633333333333,30.8666666666667,3.42967685298402,2.90489540688221,0
"922","8M31713",2099,2099,"f",27,1,"Hestmannøy",2009,2011,0,2,2,1,1,2,1,1,"27 2009","8M31713",19.7466666666667,34.4666666666667,3.53999267340622,2.98298470073149,0
"923","8M31716",2102,2102,"f",28,1,"Indre-Kvarøy",2009,2010,0,3,3,1,1,1,3,1,"28 2009","8M31716",18.9966666666667,32.6333333333333,3.48533426086835,2.9442635251788,0
"924","8M31717",2103,2103,"f",28,1,"Indre-Kvarøy",2009,2010,0,2,1.4142135623731,0.577350269189626,2,2,1,2,"28 2009","8M31717",19.05,31.9,3.4626060097908,2.94706710157271,0.693147180559945
"925","8M31730",2104,2104,"m",24,2,"Selvær",2009,2010,0,1,1,1,1,1,1,1,"24 2009","8M31730",20,33.4,3.50855589998265,2.99573227355399,0
"926","8M31732",2106,2106,"m",24,2,"Selvær",2009,2012,0,5,4.23606797749979,0.97324898946773,1,3,1.66666666666667,1.2,"24 2009","8M31732",17.98,29.4,3.38099467434464,2.88926002904347,0.182321556793955
"927","8M31733",2107,2107,"m",24,2,"Selvær",2009,2012,0,1,1,0.707106781186547,2,3,0.333333333333333,2,"24 2009","8M31733",18.64,30.2,3.40784192438082,2.92530980925744,0.693147180559945
"928","8M31738",2109,2109,"m",24,2,"Selvær",2009,2010,0,2,2,1,1,1,2,1,"24 2009","8M31738",17.49,28.2,3.33932197794407,2.86162928903051,0
"929","8M31844",2116,2116,"m",20,1,"Nesøy",2010,2011,0,1,1,1,1,1,1,1,"20 2010","8M31844",NA,35.5,3.56953269648137,NA,0
"930","8M31875",2123,2123,"m",27,1,"Hestmannøy",2010,2011,0,1,1,1,1,2,0.5,1,"27 2010","8M31875",19.42,31,3.43398720448515,2.96630346286318,0
"931","8M31922",2125,2125,"m",27,1,"Hestmannøy",2010,2012,0,6,2.37442376320906,0.472172000002155,1,3,2,2.33333333333333,"27 2010","8M31922",19.5566666666667,31.5,3.44998754583159,2.97331623426966,0.847297860387202
"932","8M31923",2126,2126,"f",27,1,"Hestmannøy",2010,2011,0,4,2.73205080756888,0.806898221355073,1,2,2,1.5,"27 2010","8M31923",18.81,29.2,3.37416870927424,2.93438864331294,0.405465108108164
"933","8M31925",2128,2128,"f",27,1,"Hestmannøy",2010,2012,0,2,2,1,1,3,0.666666666666667,1,"27 2010","8M31925",20.53,30.4,3.41444260841218,3.02188723103084,0
"934","8M31926",2129,2129,"f",27,1,"Hestmannøy",2010,2011,0,1,1,0.707106781186547,2,2,0.5,2,"27 2010","8M31926",19.9283333333333,30.4666666666667,3.41663318979199,2.99214250470343,0.693147180559945
"935","8M31927",2130,2130,"m",27,1,"Hestmannøy",2010,2011,0,3,2,0.707106781186547,1,2,1.5,1.66666666666667,"27 2010","8M31927",19.2266666666667,28.95,3.365570204019,2.95629820430858,0.510825623765993
"936","8M31936",2134,2134,"f",26,1,"Gjerøy",2010,2011,0,7,4.64575131106459,0.840070779091306,1,2,3.5,1.42857142857143,"26 2010","8M31936",19.525,34.4,3.53805656437935,2.97169569572575,0.356674943938733
"937","8M31939",2137,2137,"m",27,1,"Hestmannøy",2010,2011,0,1,1,0.707106781186547,2,2,0.5,2,"27 2010","8M31939",20.6425,31.8666666666667,3.46156053138925,3.02735205730945,0.693147180559945
"938","8M31940",2138,2138,"m",27,1,"Hestmannøy",2010,2011,0,1,1,1,1,2,0.5,1,"27 2010","8M31940",20.6325,32.625,3.48507886564286,3.0268675024847,0
