year,flok_year,flok,ringnr,firstyear,lastyear,ageclass,survival,totalrecruits,gensex,type,age,age2,year2,ob,mean.pop,rel.pop,agec,agesq
1998,26 1998,26,8651548,1996,1998,1,0,1,f,1,1,2,4,47,0.77195336649282,-0.462557365987191,2,1
1998,26 1998,26,8598568,1995,1998,1,0,3,m,1,2,3,3,48,0.77195336649282,-0.462557365987191,3,4
1998,26 1998,26,8681040,1997,1999,0,1,0,m,1,0,1,5,49,0.77195336649282,-0.462557365987191,1,0
1998,26 1998,26,8681053,1998,1999,0,1,0,f,1,0,1,6,50,0.77195336649282,-0.462557365987191,1,0
1998,26 1998,26,8681258,1997,2001,0,1,0,f,1,0,1,5,51,0.77195336649282,-0.462557365987191,1,0
1998,26 1998,26,8573187,1993,2000,1,1,0,m,1,4,5,1,52,0.77195336649282,-0.462557365987191,3,16
1998,26 1998,26,8681309,1997,2002,0,1,1,m,1,0,1,5,53,0.77195336649282,-0.462557365987191,1,0
1998,26 1998,26,8573156,1993,2001,1,1,1,f,1,4,5,1,54,0.77195336649282,-0.462557365987191,3,16
1998,26 1998,26,8681251,1997,2002,0,1,0,m,1,0,1,5,55,0.77195336649282,-0.462557365987191,1,0
1998,26 1998,26,8537612,1994,2000,1,1,1,f,1,3,4,2,56,0.77195336649282,-0.462557365987191,3,9
1998,26 1998,26,8651804,1996,1999,1,1,2,f,1,1,2,4,57,0.77195336649282,-0.462557365987191,2,1
1998,26 1998,26,8681001,1997,2000,0,1,0,m,1,0,1,5,58,0.77195336649282,-0.462557365987191,1,0
1998,26 1998,26,8730417,1998,2001,0,1,1,f,1,0,1,6,59,0.77195336649282,-0.462557365987191,1,0
1998,26 1998,26,8681254,1997,1999,0,1,1,f,1,0,1,5,60,0.77195336649282,-0.462557365987191,1,0
1998,26 1998,26,8651927,1996,1998,1,0,0,m,1,1,2,4,61,0.77195336649282,-0.462557365987191,2,1
1998,26 1998,26,8573845,1994,1999,1,1,0,f,1,3,4,2,62,0.77195336649282,-0.462557365987191,3,9
1998,26 1998,26,8573221,1993,1999,1,1,1,m,1,4,5,1,63,0.77195336649282,-0.462557365987191,3,16
1998,26 1998,26,8651543,1996,2002,1,1,4,f,1,1,2,4,64,0.77195336649282,-0.462557365987191,2,1
1998,26 1998,26,8651882,1996,1998,1,0,0,f,1,1,2,4,65,0.77195336649282,-0.462557365987191,2,1
1998,26 1998,26,8732565,1998,2001,0,1,1,m,1,0,1,6,66,0.77195336649282,-0.462557365987191,1,0
1998,26 1998,26,8681052,1998,2001,0,1,0,m,1,0,1,6,67,0.77195336649282,-0.462557365987191,1,0
1998,26 1998,26,8681109,1997,2000,0,1,0,m,1,0,1,5,68,0.77195336649282,-0.462557365987191,1,0
1998,26 1998,26,8681184,1997,2001,0,1,0,f,1,0,1,5,69,0.77195336649282,-0.462557365987191,1,0
1998,26 1998,26,8681002,1997,1998,0,0,0,m,1,0,1,5,70,0.77195336649282,-0.462557365987191,1,0
1998,27 1998,27,8651515,1996,1999,1,1,0,f,1,1,2,4,71,2.00509627759898,-0.494493397937309,2,1
1998,27 1998,27,8651860,1996,1999,1,1,2,m,1,1,2,4,72,2.00509627759898,-0.494493397937309,2,1
1998,27 1998,27,8651842,1996,1998,1,0,0,f,1,1,2,4,73,2.00509627759898,-0.494493397937309,2,1
1998,27 1998,27,8651527,1996,1998,1,0,0,f,1,1,2,4,74,2.00509627759898,-0.494493397937309,2,1
1998,27 1998,27,8681195,1997,1998,0,0,0,m,1,0,1,5,75,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8681356,1997,1998,0,0,1,f,1,0,1,5,76,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8681032,1997,1998,0,0,0,m,1,0,1,5,77,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8681319,1997,1999,0,1,0,m,1,0,1,5,78,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8730439,1998,1999,0,1,0,m,1,0,1,6,79,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8598555,1995,2000,1,1,0,f,1,2,3,3,80,2.00509627759898,-0.494493397937309,3,4
1998,27 1998,27,8651899,1996,2000,1,1,1,m,1,1,2,4,81,2.00509627759898,-0.494493397937309,2,1
