"","ID","ringnr","sex","flok","type","name","firstyear","lastyear","missing","LRS","lambda","Rep.Value","FirstAge","Long","r","GT","flok_year","animal"
"1082",1082,"8939747","m",27,1,"Hestmannøy",2004,2006,0,1,1,0.707106781186547,2,2,0.5,2,"27 2004","8939747"
"1083",1083,"8939748","m",27,1,"Hestmannøy",2004,2006,0,4,2,0.447213595499958,2,2,2,2,"27 2004","8939748"
"1084",1084,"8939749","f",27,1,"Hestmannøy",2004,2008,0,7,2.35930408597178,0.446179968641828,1,4,1.75,2.71428571428571,"27 2004","8939749"
"1085",1085,"8939750","f",27,1,"Hestmannøy",2004,2006,0,1,1,0.707106781186547,2,2,0.5,2,"27 2004","8939750"
"1086",1086,"8939762","f",27,1,"Hestmannøy",2004,2006,0,4,4,1,1,2,2,1,"27 2004","8939762"
"1087",1087,"8939763","f",27,1,"Hestmannøy",2004,2005,0,1,1,1,1,1,1,1,"27 2004","8939763"
"1088",1088,"8939764","m",27,1,"Hestmannøy",2004,2010,0,15,2.15574928607872,0.186108935221911,1,6,2.5,4.6,"27 2004","8939764"
"1089",1089,"8939768","m",27,1,"Hestmannøy",2004,2006,0,7,3,0.447213595499958,1,2,3.5,1.85714285714286,"27 2004","8939768"
"1090",1090,"8939769","m",27,1,"Hestmannøy",2004,2005,0,1,1,1,1,1,1,1,"27 2004","8939769"
"1092",1092,"8939804","m",24,2,"Selvær",2004,2008,0,2,1.18920711500272,0.371579315163934,4,4,0.5,4,"24 2004","8939804"
"1094",1094,"8939806","m",24,2,"Selvær",2004,2005,0,1,1,1,1,1,1,1,"24 2004","8939806"
"1096",1096,"8939815","m",23,2,"Træna",2004,2005,0,1,1,1,1,1,1,1,"23 2004","8939815"
"1099",1099,"8939821","f",22,2,"Myken",2004,2005,0,1,1,1,1,1,1,1,"22 2004","8939821"
"1100",1100,"8939824","f",24,2,"Selvær",2004,2009,0,2,1.2365057033915,0.506984229210033,2,5,0.4,3.5,"24 2004","8939824"
"1102",1102,"8939874","f",23,2,"Træna",2004,2007,0,4,1.87938524157182,0.45571413353245,2,3,1.33333333333333,2.25,"23 2004","8939874"
"1104",1104,"8939897","f",27,1,"Hestmannøy",2004,2007,0,1,1,0.577350269189626,3,3,0.333333333333333,3,"27 2004","8939897"
"1106",1106,"8939899","f",27,1,"Hestmannøy",2004,2006,0,1,1,0.707106781186547,2,2,0.5,2,"27 2004","8939899"
"1107",1107,"8943009","m",27,1,"Hestmannøy",2003,2004,0,5,5,1,1,1,5,1,"27 2003","8943009"
"1108",1108,"8943012","m",38,1,"Aldra",2003,2007,0,2,1.22074408460576,0.431050347463247,3,4,0.5,3.5,"38 2003","8943012"
"1109",1109,"8943013","f",38,1,"Aldra",2003,2006,0,2,2,1,1,3,0.666666666666667,1,"38 2003","8943013"
"1111",1111,"8943023","f",27,1,"Hestmannøy",2003,2005,0,1,1,1,1,2,0.5,1,"27 2003","8943023"
