"","ID","ringnr","sex","flok","type","name","firstyear","lastyear","missing","LRS","lambda","Rep.Value","FirstAge","Long","r","GT","flok_year","animal"
"1376",1376,"8L19936","m",27,1,"Hestmannøy",2007,2012,0,9,2.20556943040059,0.304516558663833,2,5,1.8,3.11111111111111,"27 2007","8L19936"
"1378",1378,"8L19946","f",27,1,"Hestmannøy",2007,2009,0,1,1,1,1,2,0.5,1,"27 2007","8L19946"
"1381",1381,"8L19961","f",38,1,"Aldra",2007,2010,0,5,2.83117720720834,0.74214433834046,1,3,1.66666666666667,1.8,"38 2007","8L19961"
"1382",1382,"8L19969","m",27,1,"Hestmannøy",2007,2009,0,2,2,1,1,2,1,1,"27 2007","8L19969"
"1384",1384,"8L19974","m",27,1,"Hestmannøy",2007,2012,0,3,1.39533699446707,0.371358429842831,3,5,0.6,3.33333333333333,"27 2007","8L19974"
"1388",1388,"8L19980","f",27,1,"Hestmannøy",2007,2008,0,2,2,1,1,1,2,1,"27 2007","8L19980"
"1389",1389,"8L19986","m",28,1,"Indre-Kvarøy",2007,2012,0,5,1.7099759466767,0.283138492188663,3,5,1,3,"28 2007","8L19986"
"1391",1391,"8L19988","f",26,1,"Gjerøy",2007,2008,0,1,1,1,1,1,1,1,"26 2007","8L19988"
"1392",1392,"8L19991","f",20,1,"Nesøy",2009,2011,0,1,1,0.707106781186547,2,2,0.5,2,"20 2009","8L19991"
"1393",1393,"8L19992","f",26,1,"Gjerøy",2009,2010,0,5,5,1,1,1,5,1,"26 2009","8L19992"
"1394",1394,"8L19995","f",20,1,"Nesøy",2009,2011,0,4,4,1,1,2,2,1,"20 2009","8L19995"
"1398",1398,"8L26528","m",28,1,"Indre-Kvarøy",2008,2011,0,6,2.33005873956798,0.388855989228955,2,3,2,2.16666666666667,"28 2008","8L26528"
"1399",1399,"8L26538","m",38,1,"Aldra",2008,2012,0,6,2.03166276316797,0.446653605285813,1,5,1.2,3.16666666666667,"38 2008","8L26538"
"1400",1400,"8L26576","f",28,1,"Indre-Kvarøy",2008,2010,0,2,1.61803398874989,0.85065080835204,1,2,1,1.5,"28 2008","8L26576"
"1401",1401,"8L26578","f",28,1,"Indre-Kvarøy",2008,2011,0,7,4.49449283705542,0.879079869894126,1,3,2.33333333333333,1.57142857142857,"28 2008","8L26578"
"1402",1402,"8L26579","f",27,1,"Hestmannøy",2008,2012,0,6,2.86313074324295,0.691869207834223,1,4,1.5,2.16666666666667,"27 2008","8L26579"
"1405",1405,"8L26586","f",27,1,"Hestmannøy",2008,2010,0,5,2.26953084208114,0.543262365883259,1,3,1.66666666666667,2.2,"27 2008","8L26586"
"1407",1407,"8L26591","f",27,1,"Hestmannøy",2008,2011,0,3,1.73205080756888,0.5,2,3,1,2,"27 2008","8L26591"
"1409",1409,"8L26596","f",28,1,"Indre-Kvarøy",2008,2008,0,1,1,1,1,1,1,1,"28 2008","8L26596"
"1410",1410,"8L26597","m",28,1,"Indre-Kvarøy",2008,2009,0,2,1.61803398874989,0.85065080835204,1,2,1,1.5,"28 2008","8L26597"
"1411",1411,"8L30001","f",38,1,"Aldra",2007,2007,0,2,2,1,1,1,2,1,"38 2007","8L30001"
"1418",1418,"8L30260","m",27,1,"Hestmannøy",2005,2007,0,1,1,1,1,2,0.5,1,"27 2005","8L30260"
"1421",1421,"8L30289","f",27,1,"Hestmannøy",2005,2008,0,2,1.4142135623731,0.577350269189626,2,3,0.666666666666667,2,"27 2005","8L30289"
"1422",1422,"8L30298","m",27,1,"Hestmannøy",2005,2010,0,4,1.53961334608198,0.325971330461804,3,5,0.8,3.25,"27 2005","8L30298"
"1428",1428,"8L30320","m",27,1,"Hestmannøy",2005,2006,0,1,1,1,1,1,1,1,"27 2005","8L30320"
"1430",1430,"8L30340","f",28,1,"Indre-Kvarøy",2005,2006,0,2,2,1,1,1,2,1,"28 2005","8L30340"
"1434",1434,"8L30388","f",24,2,"Selvær",2005,2008,0,1,1,0.577350269189626,3,3,0.333333333333333,3,"24 2005","8L30388"
"1440",1440,"8L30449","f",26,1,"Gjerøy",2005,2007,0,1,1,0.707106781186547,2,2,0.5,2,"26 2005","8L30449"
"1445",1445,"8L30499","m",23,2,"Træna",2005,2008,0,1,1,0.577350269189626,3,3,0.333333333333333,3,"23 2005","8L30499"
"1446",1446,"8L30500","m",23,2,"Træna",2005,2009,0,5,2.26953084208114,0.543262365883259,1,4,1.25,2.2,"23 2005","8L30500"
"1448",1448,"8L30591","m",27,1,"Hestmannøy",2006,2007,0,1,1,1,1,2,0.5,1,"27 2006","8L30591"
"1449",1449,"8L30596","f",26,1,"Gjerøy",2006,2009,0,7,2.8932891963045,0.618098157040566,1,4,1.75,2.42857142857143,"26 2006","8L30596"
"1451",1451,"8L30598","m",27,1,"Hestmannøy",2006,2011,0,3,2.20556943040059,0.895205204185134,1,5,0.6,1.66666666666667,"27 2006","8L30598"
"1452",1452,"8L30599","f",27,1,"Hestmannøy",2006,2009,0,11,2.90416085913492,0.366988782840709,1,4,2.75,3,"27 2006","8L30599"
"1453",1453,"8L30761","f",38,1,"Aldra",2007,2009,0,3,2.20556943040059,0.895205204185134,1,3,1,1.66666666666667,"38 2007","8L30761"
"1454",1454,"8L30779","f",26,1,"Gjerøy",2007,2009,0,6,3.23606797749979,0.628960169645094,1,3,2,1.66666666666667,"26 2007","8L30779"
"1457",1457,"8L30782","f",26,1,"Gjerøy",2007,2010,0,7,3.30277563773199,0.676766262149984,1,4,1.75,2.28571428571429,"26 2007","8L30782"
"1458",1458,"8L30783","f",27,1,"Hestmannøy",2007,2009,0,3,1.52137970680457,0.44531351469279,2,3,1,2.66666666666667,"27 2007","8L30783"
"1460",1460,"8L30807","m",23,2,"Træna",2006,2007,0,1,1,1,1,1,1,1,"23 2006","8L30807"
"1462",1462,"8L30819","m",24,2,"Selvær",2006,2008,0,2,1.4142135623731,0.577350269189626,2,2,1,2,"24 2006","8L30819"
"1463",1463,"8L30829","f",24,2,"Selvær",2006,2011,0,3,1.29064880134671,0.306237459772228,4,5,0.6,4.33333333333333,"24 2006","8L30829"
"1464",1464,"8L30832","f",24,2,"Selvær",2006,2009,0,1,1,0.707106781186547,2,3,0.333333333333333,2,"24 2006","8L30832"
"1465",1465,"8L30833","f",24,2,"Selvær",2006,2007,0,1,1,1,1,1,1,1,"24 2006","8L30833"
"1470",1470,"8L30878","m",26,1,"Gjerøy",2006,2007,0,2,2,1,1,1,2,1,"26 2006","8L30878"
"1472",1472,"8L30882","m",26,1,"Gjerøy",2006,2008,0,3,2.41421356237309,0.923879532511287,1,2,1.5,1.33333333333333,"26 2006","8L30882"
"1473",1473,"8L30890","f",27,1,"Hestmannøy",2006,2009,0,4,4,1,1,3,1.33333333333333,1,"27 2006","8L30890"
"1478",1478,"8L30920","f",20,1,"Nesøy",2005,2011,0,11,1.68579959220958,0.14785451801454,4,6,1.83333333333333,4.72727272727273,"20 2005","8L30920"
"1480",1480,"8L30947","f",23,2,"Træna",2005,2007,0,3,2,0.707106781186547,1,2,1.5,1.66666666666667,"23 2005","8L30947"
"1481",1481,"8L30958","m",24,2,"Selvær",2005,2011,0,2,1.32471795724475,0.676504305585902,1,6,0.333333333333333,3,"24 2005","8L30958"
"1482",1482,"8L30959","f",23,2,"Træna",2005,2011,0,3,1.4970940487628,0.535411002569404,1,6,0.5,3.33333333333333,"23 2005","8L30959"
"1483",1483,"8L30962","f",23,2,"Træna",2005,2006,0,4,4,1,1,1,4,1,"23 2005","8L30962"
"1486",1486,"8L48311","m",27,1,"Hestmannøy",2006,2009,0,8,2.67799348339844,0.406669773835987,1,3,2.66666666666667,2.375,"27 2006","8L48311"
"1488",1488,"8L48313","m",27,1,"Hestmannøy",2006,2009,0,7,2.59867450788155,0.452285947890119,1,3,2.33333333333333,2.28571428571429,"27 2006","8L48313"
"1489",1489,"8L48314","f",27,1,"Hestmannøy",2006,2007,0,1,1,1,1,1,1,1,"27 2006","8L48314"
"1490",1490,"8L48315","f",27,1,"Hestmannøy",2006,2011,0,4,1.5874010519682,0.318312435592218,3,5,0.8,3,"27 2006","8L48315"
"1492",1492,"8L48319","f",26,1,"Gjerøy",2006,2008,0,2,1.61803398874989,0.85065080835204,1,2,1,1.5,"26 2006","8L48319"
"1493",1493,"8L48323","f",26,1,"Gjerøy",2006,2011,0,5,1.93040305880337,0.508933458817773,1,5,1,3.2,"26 2006","8L48323"
"1495",1495,"8L48336","m",27,1,"Hestmannøy",2006,2009,0,6,2.75727892140241,0.602226205453623,1,3,2,2.16666666666667,"27 2006","8L48336"
"1497",1497,"8L48344","f",20,1,"Nesøy",2006,2009,0,6,2.75727892140241,0.602226205453623,1,3,2,2.16666666666667,"20 2006","8L48344"
"1499",1499,"8L48352","m",27,1,"Hestmannøy",2006,2008,0,2,1.4142135623731,0.577350269189626,2,2,1,2,"27 2006","8L48352"
"1506",1506,"8L48404","m",23,2,"Træna",2006,2007,0,1,1,1,1,1,1,1,"23 2006","8L48404"
"1510",1510,"8L48410","f",27,1,"Hestmannøy",2006,2007,0,1,1,1,1,1,1,1,"27 2006","8L48410"
"1513",1513,"8L48418","f",27,1,"Hestmannøy",2006,2008,0,6,3.23606797749979,0.628960169645094,1,2,3,1.66666666666667,"27 2006","8L48418"
"1521",1521,"8L48440","m",27,1,"Hestmannøy",2006,2007,0,1,1,1,1,1,1,1,"27 2006","8L48440"
"1523",1523,"8L48443","m",27,1,"Hestmannøy",2006,2009,0,1,1,0.707106781186547,2,3,0.333333333333333,2,"27 2006","8L48443"
"1526",1526,"8L48448","f",27,1,"Hestmannøy",2006,2009,0,3,1.61803398874989,0.5,2,3,1,2.33333333333333,"27 2006","8L48448"
"1527",1527,"8L48450","m",27,1,"Hestmannøy",2006,2008,0,1,1,1,1,2,0.5,1,"27 2006","8L48450"
"1528",1528,"8L48451","m",27,1,"Hestmannøy",2006,2008,0,2,2,1,1,2,1,1,"27 2006","8L48451"
"1531",1531,"8L48455","m",27,1,"Hestmannøy",2006,2008,0,2,1.4142135623731,0.577350269189626,2,2,1,2,"27 2006","8L48455"
"1532",1532,"8L48457","f",38,1,"Aldra",2006,2009,0,2,1.61803398874989,0.85065080835204,1,3,0.666666666666667,1.5,"38 2006","8L48457"
"1535",1535,"8L48463","f",38,1,"Aldra",2006,2010,0,1,1,0.577350269189626,3,4,0.25,3,"38 2006","8L48463"
"1536",1536,"8L48467","m",38,1,"Aldra",2006,2008,0,1,1,0.707106781186547,2,2,0.5,2,"38 2006","8L48467"
"1538",1538,"8L48473","m",26,1,"Gjerøy",2006,2009,0,3,1.44224957030741,0.367437719731505,3,3,1,3,"26 2006","8L48473"
"1539",1539,"8L48474","m",26,1,"Gjerøy",2006,2007,0,3,3,1,1,1,3,1,"26 2006","8L48474"
"1540",1540,"8L48476","f",26,1,"Gjerøy",2006,2007,0,7,7,1,1,1,7,1,"26 2006","8L48476"
"1541",1541,"8L48478","m",26,1,"Gjerøy",2006,2011,0,4,2.07548286628354,0.639830290678085,1,5,0.8,2.25,"26 2006","8L48478"
"1542",1542,"8L48479","m",26,1,"Gjerøy",2006,2010,0,3,1.83928675521416,0.707106781186547,1,4,0.75,2,"26 2006","8L48479"
"1543",1543,"8L48480","f",26,1,"Gjerøy",2006,2007,0,2,2,1,1,1,2,1,"26 2006","8L48480"
"1544",1544,"8L48501","m",38,1,"Aldra",2006,2009,0,5,2.20556943040059,0.568585355127227,1,4,1.25,2.4,"38 2006","8L48501"
"1546",1546,"8L48540","m",23,2,"Træna",2006,2007,0,1,1,1,1,1,1,1,"23 2006","8L48540"
"1547",1547,"8L48542","f",23,2,"Træna",2006,2007,0,1,1,1,1,1,1,1,"23 2006","8L48542"
"1548",1548,"8L48555","f",24,2,"Selvær",2006,2008,0,2,1.4142135623731,0.577350269189626,2,3,0.666666666666667,2,"24 2006","8L48555"
"1549",1549,"8L48565","f",23,2,"Træna",2006,2006,0,1,1,1,1,1,1,1,"23 2006","8L48565"
"1550",1550,"8L48574","f",24,2,"Selvær",2006,2009,0,1,1,0.577350269189626,3,3,0.333333333333333,3,"24 2006","8L48574"
"1551",1551,"8L48581","m",27,1,"Hestmannøy",2006,2007,0,2,2,1,1,1,2,1,"27 2006","8L48581"
"1553",1553,"8L48592","f",27,1,"Hestmannøy",2006,2006,0,3,3,1,1,1,3,1,"27 2006","8L48592"
"1554",1554,"8L48598","f",23,2,"Træna",2006,2007,0,1,1,0.707106781186547,2,2,0.5,2,"23 2006","8L48598"
"1556",1556,"8L48607","f",28,1,"Indre-Kvarøy",2006,2007,0,5,3.56155281280883,0.871928209278037,1,2,2.5,1.4,"28 2006","8L48607"
"1557",1557,"8L48608","m",28,1,"Indre-Kvarøy",2006,2007,0,4,3.30277563773199,0.957092026489053,1,2,2,1.25,"28 2006","8L48608"
"1560",1560,"8L48611","m",20,1,"Nesøy",2006,2007,0,1,1,1,1,1,1,1,"20 2006","8L48611"
"1563",1563,"8L48662","f",27,1,"Hestmannøy",2006,2007,0,1,1,1,1,1,1,1,"27 2006","8L48662"
"1564",1564,"8L48691","f",38,1,"Aldra",2006,2007,0,3,2,0.707106781186547,1,2,1.5,1.66666666666667,"38 2006","8L48691"
"1566",1566,"8L48694","f",28,1,"Indre-Kvarøy",2006,2008,0,1,1,1,1,2,0.5,1,"28 2006","8L48694"
"1568",1568,"8L49909","f",26,1,"Gjerøy",2007,2011,0,1,1,1,1,5,0.2,1,"26 2007","8L49909"
"1570",1570,"8L49912","f",20,1,"Nesøy",2007,2008,0,1,1,1,1,1,1,1,"20 2007","8L49912"
"1571",1571,"8L49917","m",20,1,"Nesøy",2007,2009,0,6,2.79128784747792,0.487444739694829,1,2,3,1.83333333333333,"20 2007","8L49917"
"1573",1573,"8L49934","f",22,2,"Myken",2007,2008,0,3,3,1,1,2,1.5,1,"22 2007","8L49934"
"1575",1575,"8L49938","m",27,1,"Hestmannøy",2007,2010,0,6,2.10380340273554,0.366139935054916,2,3,2,2.5,"27 2007","8L49938"
"1577",1577,"8L49957","m",26,1,"Gjerøy",2007,2010,0,2,1.61803398874989,0.85065080835204,1,3,0.666666666666667,1.5,"26 2007","8L49957"
"1580",1580,"8L49960","m",26,1,"Gjerøy",2007,2010,0,3,1.83928675521416,0.707106781186547,1,3,1,2,"26 2007","8L49960"
"1583",1583,"8L49974","f",27,1,"Hestmannøy",2007,2010,0,5,2,0.408248290463864,2,3,1.66666666666667,2.4,"27 2007","8L49974"
"1584",1584,"8L49991","f",28,1,"Indre-Kvarøy",2007,2010,0,8,2.92188438379858,0.543511109631137,1,4,2,2.625,"28 2007","8L49991"
"1585",1585,"8L52202","f",27,1,"Hestmannøy",2006,2007,0,1,1,1,1,1,1,1,"27 2006","8L52202"
"1588",1588,"8L52211","m",27,1,"Hestmannøy",2006,2007,0,1,1,1,1,2,0.5,1,"27 2006","8L52211"
"1589",1589,"8L52212","f",27,1,"Hestmannøy",2006,2007,0,2,1.61803398874989,0.85065080835204,1,2,1,1.5,"27 2006","8L52212"
"1596",1596,"8L52241","m",24,2,"Selvær",2006,2011,0,1,1,0.5,4,5,0.2,4,"24 2006","8L52241"
"1604",1604,"8L52283","m",24,2,"Selvær",2006,2007,0,1,1,1,1,1,1,1,"24 2006","8L52283"
"1607",1607,"8L52303","f",27,1,"Hestmannøy",2006,2010,0,1,1,0.5,4,4,0.25,4,"27 2006","8L52303"
"1608",1608,"8L52304","m",27,1,"Hestmannøy",2006,2007,0,1,1,1,1,1,1,1,"27 2006","8L52304"
"1609",1609,"8L52305","f",27,1,"Hestmannøy",2006,2007,0,1,1,1,1,1,1,1,"27 2006","8L52305"
"1611",1611,"8L52310","f",27,1,"Hestmannøy",2006,2008,0,4,2.30277563773199,0.60889367553119,1,2,2,1.75,"27 2006","8L52310"
"1612",1612,"8L52401","m",27,1,"Hestmannøy",2006,2008,0,1,1,0.707106781186547,2,2,0.5,2,"27 2006","8L52401"
"1614",1614,"8L52404","m",28,1,"Indre-Kvarøy",2006,2007,0,1,1,1,1,1,1,1,"28 2006","8L52404"
"1623",1623,"8L52419","m",26,1,"Gjerøy",2006,2008,0,5,2.23606797749979,0.408248290463863,2,2,2.5,2,"26 2006","8L52419"
"1624",1624,"8L52420","m",26,1,"Gjerøy",2006,2010,0,6,2.69679718910396,0.646052022857944,1,4,1.5,2.33333333333333,"26 2006","8L52420"
"1626",1626,"8L52426","m",27,1,"Hestmannøy",2006,2009,0,3,1.52137970680457,0.44531351469279,2,3,1,2.66666666666667,"27 2006","8L52426"
"1627",1627,"8L52428","f",27,1,"Hestmannøy",2006,2008,0,2,1.4142135623731,0.577350269189626,2,2,1,2,"27 2006","8L52428"
"1629",1629,"8L52504","m",27,1,"Hestmannøy",2006,2009,0,1,1,0.707106781186547,2,3,0.333333333333333,2,"27 2006","8L52504"
"1632",1632,"8L52527","f",20,1,"Nesøy",2006,2012,0,7,1.88851884548441,0.33566800370325,2,6,1.16666666666667,3.57142857142857,"20 2006","8L52527"
"1633",1633,"8L52529","m",27,1,"Hestmannøy",2006,2007,0,1,1,1,1,1,1,1,"27 2006","8L52529"
"1635",1635,"8L52533","f",27,1,"Hestmannøy",2006,2007,0,1,1,0.707106781186547,2,2,0.5,2,"27 2006","8L52533"
"1636",1636,"8L52534","m",27,1,"Hestmannøy",2006,2008,0,2,1.32471795724475,0.548431757931806,2,3,0.666666666666667,2.5,"27 2006","8L52534"
"1639",1639,"8L52550","f",27,1,"Hestmannøy",2006,2012,0,3,2,0.707106781186547,1,7,0.428571428571429,1.66666666666667,"27 2006","8L52550"
"1640",1640,"8L52551","m",26,1,"Gjerøy",2006,2008,0,2,1.4142135623731,0.577350269189626,2,2,1,2,"26 2006","8L52551"
"1641",1641,"8L52552","m",26,1,"Gjerøy",2006,2007,0,2,2,1,1,1,2,1,"26 2006","8L52552"
"1644",1644,"8L52574","f",38,1,"Aldra",2006,2011,0,4,1.50200075453217,0.367793127716649,2,5,0.8,3.75,"38 2006","8L52574"
"1646",1646,"8L52596","m",27,1,"Hestmannøy",2007,2008,0,2,2,1,1,2,1,1,"27 2007","8L52596"
"1647",1647,"8L52597","m",28,1,"Indre-Kvarøy",2007,2007,0,2,2,1,1,1,2,1,"28 2007","8L52597"
"1648",1648,"8L52598","m",38,1,"Aldra",2007,2011,0,2,1.32471795724475,0.548431757931806,2,5,0.4,2.5,"38 2007","8L52598"
"1650",1650,"8L52614","f",24,2,"Selvær",2006,2007,0,1,1,1,1,1,1,1,"24 2006","8L52614"
"1652",1652,"8L52620","m",24,2,"Selvær",2006,2011,0,1,1,0.577350269189626,3,5,0.2,3,"24 2006","8L52620"
"1654",1654,"8L52624","f",23,2,"Træna",2006,2007,0,1,1,1,1,1,1,1,"23 2006","8L52624"
"1656",1656,"8L52674","m",28,1,"Indre-Kvarøy",2006,2008,0,2,1.61803398874989,0.85065080835204,1,2,1,1.5,"28 2006","8L52674"
"1659",1659,"8L52913","f",38,1,"Aldra",2006,2012,0,2,1.13472413840152,0.322655498547256,5,6,0.333333333333333,5.5,"38 2006","8L52913"
"1660",1660,"8L52920","m",28,1,"Indre-Kvarøy",2006,2008,0,4,2,0.577350269189626,1,3,1.33333333333333,2.25,"28 2006","8L52920"
"1663",1663,"8L52931","f",26,1,"Gjerøy",2006,2009,0,4,1.49453018047967,0.316014601330163,3,4,1,3.5,"26 2006","8L52931"
"1666",1666,"8L52943","m",28,1,"Indre-Kvarøy",2006,2007,0,2,1.61803398874989,0.85065080835204,1,2,1,1.5,"28 2006","8L52943"
"1668",1668,"8L52954","m",27,1,"Hestmannøy",2006,2011,0,5,1.60048518044024,0.285758479625019,2,6,0.833333333333333,3.6,"27 2006","8L52954"
"1671",1671,"8L52959","f",28,1,"Indre-Kvarøy",2006,2008,0,1,1,1,1,2,0.5,1,"28 2006","8L52959"
"1674",1674,"8L52962","f",28,1,"Indre-Kvarøy",2006,2008,0,1,1,0.707106781186547,2,2,0.5,2,"28 2006","8L52962"
"1675",1675,"8L52963","m",28,1,"Indre-Kvarøy",2006,2008,0,3,2.41421356237309,0.923879532511287,1,2,1.5,1.33333333333333,"28 2006","8L52963"
"1678",1678,"8L52967","f",28,1,"Indre-Kvarøy",2006,2007,0,3,2,0.707106781186547,1,2,1.5,1.66666666666667,"28 2006","8L52967"
"1680",1680,"8L52973","f",26,1,"Gjerøy",2006,2007,0,1,1,1,1,1,1,1,"26 2006","8L52973"
"1681",1681,"8L52974","m",26,1,"Gjerøy",2006,2009,0,6,2.91963956583942,0.657243060060639,1,4,1.5,2,"26 2006","8L52974"
"1682",1682,"8L52978","f",27,1,"Hestmannøy",2006,2007,0,2,2,1,1,1,2,1,"27 2006","8L52978"
"1686",1686,"8L57758","f",23,2,"Træna",2007,2008,0,3,3,1,1,1,3,1,"23 2007","8L57758"
"1688",1688,"8L57814","f",23,2,"Træna",2007,2009,0,1,1,1,1,2,0.5,1,"23 2007","8L57814"
"1695",1695,"8L57906","f",23,2,"Træna",2010,2012,0,5,2.4855839976886,0.60942267714793,1,3,1.66666666666667,2.2,"23 2010","8L57906"
"1696",1696,"8L57916","m",23,2,"Træna",2010,2010,0,5,5,1,1,1,5,1,"23 2010","8L57916"
"1700",1700,"8L57923","f",24,2,"Selvær",2010,2012,0,1,1,1,1,2,0.5,1,"24 2010","8L57923"
"1706",1706,"8L57943","f",23,2,"Træna",2010,2011,0,1,1,1,1,1,1,1,"23 2010","8L57943"
"1707",1707,"8L64134","f",27,1,"Hestmannøy",2008,2011,0,1,1,0.707106781186547,2,4,0.25,2,"27 2008","8L64134"
"1710",1710,"8L64156","m",23,2,"Træna",2008,2009,0,1,1,1,1,1,1,1,"23 2008","8L64156"
"1713",1713,"8L64175","f",24,2,"Selvær",2008,2010,0,1,1,0.707106781186547,2,2,0.5,2,"24 2008","8L64175"
"1715",1715,"8L64202","f",26,1,"Gjerøy",2008,2011,0,2,1.4142135623731,0.577350269189626,2,3,0.666666666666667,2,"26 2008","8L64202"
"1716",1716,"8L64206","f",28,1,"Indre-Kvarøy",2008,2010,0,1,1,0.707106781186547,2,2,0.5,2,"28 2008","8L64206"
"1717",1717,"8L64210","m",28,1,"Indre-Kvarøy",2008,2010,0,8,2.27901878616659,0.301412159641606,2,3,2.66666666666667,2.625,"28 2008","8L64210"
"1719",1719,"8L64215","m",27,1,"Hestmannøy",2008,2009,0,2,2,1,1,1,2,1,"27 2008","8L64215"
"1720",1720,"8L64216","m",22,2,"Myken",2008,2009,0,1,1,1,1,1,1,1,"22 2008","8L64216"
"1721",1721,"8L64224","f",22,2,"Myken",2008,2009,0,1,1,1,1,1,1,1,"22 2008","8L64224"
"1726",1726,"8L64265","f",23,2,"Træna",2008,2010,0,1,1,0.707106781186547,2,2,0.5,2,"23 2008","8L64265"
"1727",1727,"8L64266","f",24,2,"Selvær",2008,2009,0,1,1,1,1,1,1,1,"24 2008","8L64266"
"1728",1728,"8L64271","m",27,1,"Hestmannøy",2008,2011,0,2,1.32471795724475,0.548431757931806,2,3,0.666666666666667,2.5,"27 2008","8L64271"
"1732",1732,"8L64283","f",27,1,"Hestmannøy",2008,2009,0,1,1,1,1,1,1,1,"27 2008","8L64283"
"1733",1733,"8L64286","f",38,1,"Aldra",2008,2010,0,1,1,1,1,2,0.5,1,"38 2008","8L64286"
"1739",1739,"8L64372","f",24,2,"Selvær",2008,2011,0,2,1.4142135623731,0.577350269189626,2,3,0.666666666666667,2,"24 2008","8L64372"
"1744",1744,"8L64398","f",24,2,"Selvær",2008,2008,0,2,2,1,1,1,2,1,"24 2008","8L64398"
"1745",1745,"8L64399","f",23,2,"Træna",2008,2008,0,1,1,1,1,1,1,1,"23 2008","8L64399"
"1748",1748,"8L64813","m",23,2,"Træna",2008,2011,0,10,2.78408572778461,0.364148734331142,1,4,2.5,2.9,"23 2008","8L64813"
"1749",1749,"8L64819","f",23,2,"Træna",2008,2009,0,2,2,1,1,1,2,1,"23 2008","8L64819"
"1750",1750,"8L64820","f",23,2,"Træna",2008,2011,0,4,2.30277563773199,0.60889367553119,1,3,1.33333333333333,1.75,"23 2008","8L64820"
"1751",1751,"8L64821","f",23,2,"Træna",2008,2010,0,2,1.61803398874989,0.85065080835204,1,2,1,1.5,"23 2008","8L64821"
"1757",1757,"8L64840","m",24,2,"Selvær",2008,2009,0,1,1,0.707106781186547,2,2,0.5,2,"24 2008","8L64840"
"1762",1762,"8L64866","f",24,2,"Selvær",2008,2012,0,6,2.65109340893718,0.508434243869024,1,4,1.5,2,"24 2008","8L64866"
"1763",1763,"8L64901","f",27,1,"Hestmannøy",2008,2010,0,4,1.76929235423863,0.430005547814934,2,3,1.33333333333333,2.5,"27 2008","8L64901"
"1764",1764,"8L64902","f",27,1,"Hestmannøy",2008,2008,0,2,2,1,1,1,2,1,"27 2008","8L64902"
"1765",1765,"8L64903","f",27,1,"Hestmannøy",2008,2008,0,3,3,1,1,1,3,1,"27 2008","8L64903"
"1769",1769,"8L64923","f",38,1,"Aldra",2008,2008,0,1,1,1,1,1,1,1,"38 2008","8L64923"
"1770",1770,"8L64933","f",27,1,"Hestmannøy",2008,2010,0,3,2.41421356237309,0.923879532511287,1,2,1.5,1.33333333333333,"27 2008","8L64933"
"1773",1773,"8L64970","f",27,1,"Hestmannøy",2008,2009,0,2,2,1,1,1,2,1,"27 2008","8L64970"
"1776",1776,"8L64976","m",22,2,"Myken",2008,2010,0,1,1,1,1,2,0.5,1,"22 2008","8L64976"
"1780",1780,"8L88307","f",24,2,"Selvær",2010,2012,0,1,1,1,1,3,0.333333333333333,1,"24 2010","8L88307"
"1781",1781,"8L89026","m",23,2,"Træna",2009,2010,0,1,1,1,1,1,1,1,"23 2009","8L89026"
"1785",1785,"8L89202","f",27,1,"Hestmannøy",2008,2009,0,2,2,1,1,1,2,1,"27 2008","8L89202"
"1789",1789,"8L89230","f",28,1,"Indre-Kvarøy",2008,2011,0,9,3.6963927793471,0.50309493056658,1,3,3,1.88888888888889,"28 2008","8L89230"
"1790",1790,"8L89244","f",28,1,"Indre-Kvarøy",2008,2009,0,4,4,1,1,1,4,1,"28 2008","8L89244"
"1791",1791,"8L89245","f",28,1,"Indre-Kvarøy",2008,2010,0,4,2.73205080756888,0.806898221355073,1,2,2,1.5,"28 2008","8L89245"
"1792",1792,"8L89254","m",26,1,"Gjerøy",2008,2011,0,6,2.24189656303448,0.417913207344724,1,3,2,2.5,"26 2008","8L89254"
"1793",1793,"8L89256","m",26,1,"Gjerøy",2008,2010,0,1,1,0.707106781186547,2,2,0.5,2,"26 2008","8L89256"
"1797",1797,"8L89266","m",27,1,"Hestmannøy",2008,2009,0,2,2,1,1,1,2,1,"27 2008","8L89266"
"1798",1798,"8L89268","m",27,1,"Hestmannøy",2008,2012,0,7,3.10380340273554,0.63199412027421,1,4,1.75,2.14285714285714,"27 2008","8L89268"
"1799",1799,"8L89269","m",27,1,"Hestmannøy",2008,2009,0,3,3,1,1,1,3,1,"27 2008","8L89269"
"1800",1800,"8L89271","f",27,1,"Hestmannøy",2008,2009,0,2,2,1,1,1,2,1,"27 2008","8L89271"
"1803",1803,"8L89276","m",27,1,"Hestmannøy",2008,2012,0,2,1.32471795724475,0.548431757931806,2,4,0.5,2.5,"27 2008","8L89276"
"1804",1804,"8L89277","m",27,1,"Hestmannøy",2008,2012,0,4,3.10380340273554,0.947206478428209,1,4,1,1.5,"27 2008","8L89277"
"1806",1806,"8L89296","f",26,1,"Gjerøy",2008,2011,0,3,1.69562076955986,0.589754512301459,1,3,1,2.33333333333333,"26 2008","8L89296"
"1811",1811,"8L89334","m",28,1,"Indre-Kvarøy",2008,2011,0,2,1.61803398874989,0.85065080835204,1,3,0.666666666666667,1.5,"28 2008","8L89334"
